pcf_trading_day,valuation_day,creation_redemption_unit,nav_per_cu,cash_component,estimate_cash_component,safe_mid_fx,xop_close,q_nav,q_net,chosen_q,chosen_method,warning
2026-06-24,2026-06-22,1000000,1053689.73,-1114.32,1346.03,6.815,154.9,998.1492141996801003369035094,999.2047978318437995402804074,999.2047978318437995402804074,pcf_net,
2026-06-26,2026-06-24,1000000,1040678.37,1370.26,1370.26,6.8195,153.03,997.2118165760775239207526982,995.8987889364413354719357492,995.8987889364413354719357492,pcf_net,
2026-07-02,2026-06-30,1000000,1047188.98,1182.59,1677.06,6.8109,154.26,996.7063666642588226055238137,995.5807866546663937002606333,995.5807866546663937002606333,pcf_net,
