timestamp_local,timestamp_utc,open,high,low,close,volume,average,bar_count
2026-07-10T09:30:00+08:00,2026-07-10T01:30:00+00:00,3.4,3.44,3.39,3.39,1250000.0,3.4085,25
2026-07-10T09:31:00+08:00,2026-07-10T01:31:00+00:00,3.39,3.39,3.36,3.37,1264000.0,3.3715,31
2026-07-10T09:32:00+08:00,2026-07-10T01:32:00+00:00,3.36,3.37,3.35,3.35,510000.0,3.361,13
2026-07-10T09:33:00+08:00,2026-07-10T01:33:00+00:00,3.36,3.37,3.35,3.37,1426000.0,3.3605,19
2026-07-10T09:34:00+08:00,2026-07-10T01:34:00+00:00,3.36,3.37,3.36,3.36,476000.0,3.3615,15
2026-07-10T09:35:00+08:00,2026-07-10T01:35:00+00:00,3.36,3.37,3.36,3.37,584000.0,3.3605,10
2026-07-10T09:36:00+08:00,2026-07-10T01:36:00+00:00,3.37,3.37,3.36,3.36,30000.0,3.3695,5
2026-07-10T09:37:00+08:00,2026-07-10T01:37:00+00:00,3.37,3.37,3.36,3.36,128000.0,3.364,6
2026-07-10T09:38:00+08:00,2026-07-10T01:38:00+00:00,3.37,3.4,3.37,3.4,982000.0,3.383,17
2026-07-10T09:39:00+08:00,2026-07-10T01:39:00+00:00,3.4,3.4,3.39,3.39,88000.0,3.3905,6
2026-07-10T09:40:00+08:00,2026-07-10T01:40:00+00:00,3.39,3.39,3.38,3.38,426000.0,3.381,16
2026-07-10T09:41:00+08:00,2026-07-10T01:41:00+00:00,3.38,3.38,3.37,3.37,62000.0,3.3715,6
2026-07-10T09:42:00+08:00,2026-07-10T01:42:00+00:00,3.38,3.38,3.37,3.37,30000.0,3.372,4
2026-07-10T09:43:00+08:00,2026-07-10T01:43:00+00:00,3.38,3.38,3.37,3.38,1998000.0,3.378,21
2026-07-10T09:44:00+08:00,2026-07-10T01:44:00+00:00,3.38,3.39,3.38,3.38,504000.0,3.383,8
2026-07-10T09:45:00+08:00,2026-07-10T01:45:00+00:00,3.38,3.38,3.37,3.38,162000.0,3.377,8
2026-07-10T09:46:00+08:00,2026-07-10T01:46:00+00:00,3.39,3.41,3.39,3.41,676000.0,3.4065,13
2026-07-10T09:47:00+08:00,2026-07-10T01:47:00+00:00,3.41,3.42,3.41,3.42,54000.0,3.413,9
2026-07-10T09:48:00+08:00,2026-07-10T01:48:00+00:00,3.41,3.41,3.41,3.41,108000.0,3.41,5
2026-07-10T09:49:00+08:00,2026-07-10T01:49:00+00:00,3.42,3.42,3.42,3.42,230000.0,3.42,7
2026-07-10T09:50:00+08:00,2026-07-10T01:50:00+00:00,3.42,3.43,3.4,3.41,682000.0,3.4145,14
2026-07-10T09:51:00+08:00,2026-07-10T01:51:00+00:00,3.4,3.41,3.4,3.41,218000.0,3.409,6
2026-07-10T09:52:00+08:00,2026-07-10T01:52:00+00:00,3.41,3.42,3.41,3.41,168000.0,3.414,14
2026-07-10T09:53:00+08:00,2026-07-10T01:53:00+00:00,3.41,3.41,3.4,3.4,10000.0,3.406,4
2026-07-10T09:54:00+08:00,2026-07-10T01:54:00+00:00,3.4,3.42,3.4,3.42,704000.0,3.41,7
2026-07-10T09:55:00+08:00,2026-07-10T01:55:00+00:00,3.42,3.42,3.41,3.41,322000.0,3.4105,6
2026-07-10T09:56:00+08:00,2026-07-10T01:56:00+00:00,3.42,3.43,3.42,3.43,366000.0,3.425,8
2026-07-10T09:57:00+08:00,2026-07-10T01:57:00+00:00,3.44,3.45,3.44,3.44,390000.0,3.4415,26
2026-07-10T09:58:00+08:00,2026-07-10T01:58:00+00:00,3.45,3.45,3.43,3.44,442000.0,3.445,20
2026-07-10T09:59:00+08:00,2026-07-10T01:59:00+00:00,3.44,3.44,3.43,3.44,760000.0,3.4385,14
2026-07-10T10:00:00+08:00,2026-07-10T02:00:00+00:00,3.43,3.44,3.42,3.44,1074000.0,3.4355,21
2026-07-10T10:01:00+08:00,2026-07-10T02:01:00+00:00,3.44,3.46,3.44,3.45,1336000.0,3.4495,27
2026-07-10T10:02:00+08:00,2026-07-10T02:02:00+00:00,3.45,3.46,3.45,3.45,294000.0,3.4505,16
2026-07-10T10:03:00+08:00,2026-07-10T02:03:00+00:00,3.44,3.46,3.44,3.46,296000.0,3.4505,8
2026-07-10T10:04:00+08:00,2026-07-10T02:04:00+00:00,3.45,3.46,3.45,3.45,148000.0,3.452,9
2026-07-10T10:05:00+08:00,2026-07-10T02:05:00+00:00,3.46,3.46,3.45,3.46,114000.0,3.457,10
2026-07-10T10:06:00+08:00,2026-07-10T02:06:00+00:00,3.46,3.46,3.45,3.45,256000.0,3.4515,18
2026-07-10T10:07:00+08:00,2026-07-10T02:07:00+00:00,3.46,3.47,3.46,3.47,744000.0,3.4605,10
2026-07-10T10:08:00+08:00,2026-07-10T02:08:00+00:00,3.46,3.47,3.46,3.46,60000.0,3.461,7
2026-07-10T10:09:00+08:00,2026-07-10T02:09:00+00:00,3.46,3.47,3.46,3.46,400000.0,3.461,19
2026-07-10T10:10:00+08:00,2026-07-10T02:10:00+00:00,3.46,3.46,3.46,3.46,354000.0,3.46,11
2026-07-10T10:11:00+08:00,2026-07-10T02:11:00+00:00,3.46,3.47,3.46,3.46,32000.0,3.4605,5
2026-07-10T10:12:00+08:00,2026-07-10T02:12:00+00:00,3.46,3.49,3.46,3.48,1350000.0,3.4745,21
2026-07-10T10:13:00+08:00,2026-07-10T02:13:00+00:00,3.49,3.5,3.49,3.5,782000.0,3.4915,34
2026-07-10T10:14:00+08:00,2026-07-10T02:14:00+00:00,3.5,3.51,3.49,3.5,1424000.0,3.5,29
2026-07-10T10:15:00+08:00,2026-07-10T02:15:00+00:00,3.5,3.52,3.5,3.52,1766000.0,3.507,33
2026-07-10T10:16:00+08:00,2026-07-10T02:16:00+00:00,3.52,3.53,3.5,3.5,2014000.0,3.516,49
2026-07-10T10:17:00+08:00,2026-07-10T02:17:00+00:00,3.49,3.5,3.49,3.5,210000.0,3.499,14
2026-07-10T10:18:00+08:00,2026-07-10T02:18:00+00:00,3.49,3.5,3.49,3.5,342000.0,3.5,10
2026-07-10T10:19:00+08:00,2026-07-10T02:19:00+00:00,3.49,3.51,3.49,3.5,876000.0,3.5005,30
2026-07-10T10:20:00+08:00,2026-07-10T02:20:00+00:00,3.51,3.52,3.5,3.5,928000.0,3.5105,18
2026-07-10T10:21:00+08:00,2026-07-10T02:21:00+00:00,3.51,3.51,3.5,3.5,942000.0,3.5045,16
2026-07-10T10:22:00+08:00,2026-07-10T02:22:00+00:00,3.5,3.51,3.49,3.49,874000.0,3.498,16
2026-07-10T10:23:00+08:00,2026-07-10T02:23:00+00:00,3.5,3.51,3.5,3.5,498000.0,3.5,15
2026-07-10T10:24:00+08:00,2026-07-10T02:24:00+00:00,3.51,3.51,3.5,3.51,300000.0,3.5045,16
2026-07-10T10:25:00+08:00,2026-07-10T02:25:00+00:00,3.51,3.51,3.5,3.5,74000.0,3.5025,9
2026-07-10T10:26:00+08:00,2026-07-10T02:26:00+00:00,3.5,3.5,3.5,3.5,150000.0,3.5,7
2026-07-10T10:27:00+08:00,2026-07-10T02:27:00+00:00,3.5,3.5,3.5,3.5,1188000.0,3.5,8
2026-07-10T10:28:00+08:00,2026-07-10T02:28:00+00:00,3.5,3.5,3.49,3.49,1034000.0,3.49,15
2026-07-10T10:29:00+08:00,2026-07-10T02:29:00+00:00,3.49,3.49,3.48,3.49,332000.0,3.49,14
2026-07-10T10:30:00+08:00,2026-07-10T02:30:00+00:00,3.5,3.51,3.49,3.5,1156000.0,3.5015,12
2026-07-10T10:31:00+08:00,2026-07-10T02:31:00+00:00,3.51,3.52,3.5,3.51,380000.0,3.5105,10
2026-07-10T10:32:00+08:00,2026-07-10T02:32:00+00:00,3.52,3.54,3.52,3.54,1094000.0,3.525,15
