timestamp_local,timestamp_utc,open,high,low,close,volume,average,bar_count
2026-07-10T09:30:00+08:00,2026-07-10T01:30:00+00:00,12.48,12.69,12.35,12.4,264400.0,12.505,93
2026-07-10T09:31:00+08:00,2026-07-10T01:31:00+00:00,12.4,12.49,12.4,12.47,101200.0,12.452,53
2026-07-10T09:32:00+08:00,2026-07-10T01:32:00+00:00,12.43,12.49,12.43,12.46,63200.0,12.46,31
2026-07-10T09:33:00+08:00,2026-07-10T01:33:00+00:00,12.46,12.47,12.41,12.43,22800.0,12.443,18
2026-07-10T09:34:00+08:00,2026-07-10T01:34:00+00:00,12.43,12.43,12.41,12.43,20000.0,12.425,25
2026-07-10T09:35:00+08:00,2026-07-10T01:35:00+00:00,12.43,12.43,12.4,12.4,196800.0,12.402,19
2026-07-10T09:36:00+08:00,2026-07-10T01:36:00+00:00,12.38,12.38,12.36,12.38,13200.0,12.376,15
2026-07-10T09:37:00+08:00,2026-07-10T01:37:00+00:00,12.38,12.38,12.36,12.38,16400.0,12.371,13
2026-07-10T09:38:00+08:00,2026-07-10T01:38:00+00:00,12.37,12.45,12.37,12.45,84400.0,12.397,28
2026-07-10T09:39:00+08:00,2026-07-10T01:39:00+00:00,12.46,12.49,12.42,12.42,28800.0,12.45,20
2026-07-10T09:40:00+08:00,2026-07-10T01:40:00+00:00,12.42,12.43,12.42,12.43,15200.0,12.421,13
2026-07-10T09:41:00+08:00,2026-07-10T01:41:00+00:00,12.42,12.42,12.39,12.39,41200.0,12.394,6
2026-07-10T09:42:00+08:00,2026-07-10T01:42:00+00:00,12.39,12.41,12.37,12.38,62800.0,12.386,19
2026-07-10T09:43:00+08:00,2026-07-10T01:43:00+00:00,12.38,12.4,12.38,12.38,14000.0,12.384,11
2026-07-10T09:44:00+08:00,2026-07-10T01:44:00+00:00,12.38,12.38,12.33,12.33,22000.0,12.36,14
2026-07-10T09:45:00+08:00,2026-07-10T01:45:00+00:00,12.34,12.39,12.34,12.39,38000.0,12.363,15
2026-07-10T09:46:00+08:00,2026-07-10T01:46:00+00:00,12.38,12.44,12.38,12.41,72000.0,12.413,21
2026-07-10T09:47:00+08:00,2026-07-10T01:47:00+00:00,12.42,12.42,12.42,12.42,400.0,12.42,1
2026-07-10T09:48:00+08:00,2026-07-10T01:48:00+00:00,12.42,12.45,12.42,12.45,14000.0,12.433,13
2026-07-10T09:49:00+08:00,2026-07-10T01:49:00+00:00,12.45,12.48,12.44,12.44,23200.0,12.451,17
2026-07-10T09:50:00+08:00,2026-07-10T01:50:00+00:00,12.44,12.44,12.43,12.43,5200.0,12.432,3
2026-07-10T09:51:00+08:00,2026-07-10T01:51:00+00:00,12.43,12.47,12.43,12.47,26400.0,12.441,12
2026-07-10T09:52:00+08:00,2026-07-10T01:52:00+00:00,12.47,12.48,12.46,12.48,18000.0,12.467,12
2026-07-10T09:53:00+08:00,2026-07-10T01:53:00+00:00,12.48,12.48,12.47,12.48,6400.0,12.479,7
2026-07-10T09:54:00+08:00,2026-07-10T01:54:00+00:00,12.48,12.48,12.48,12.48,0.0,12.48,0
2026-07-10T09:55:00+08:00,2026-07-10T01:55:00+00:00,12.47,12.47,12.46,12.46,5600.0,12.465,9
