timestamp_local,timestamp_utc,open,high,low,close,volume,average,bar_count
2026-07-10T09:30:00-04:00,2026-07-10T13:30:00+00:00,14.38,14.62,14.19,14.54,43615.0,14.446,119
2026-07-10T09:31:00-04:00,2026-07-10T13:31:00+00:00,14.54,14.57,14.53,14.57,526.0,14.539,4
2026-07-10T09:32:00-04:00,2026-07-10T13:32:00+00:00,14.6,14.7,14.56,14.7,18058.0,14.602,101
2026-07-10T09:33:00-04:00,2026-07-10T13:33:00+00:00,14.63,14.64,14.52,14.52,19583.0,14.617,45
2026-07-10T09:34:00-04:00,2026-07-10T13:34:00+00:00,14.52,14.62,14.52,14.58,5804.0,14.567,39
2026-07-10T09:35:00-04:00,2026-07-10T13:35:00+00:00,14.58,14.58,14.5,14.5,2444.0,14.525,15
2026-07-10T09:36:00-04:00,2026-07-10T13:36:00+00:00,14.51,14.51,14.46,14.48,1817.0,14.491,13
2026-07-10T09:37:00-04:00,2026-07-10T13:37:00+00:00,14.48,14.49,14.44,14.46,7122.0,14.472,47
2026-07-10T09:38:00-04:00,2026-07-10T13:38:00+00:00,14.44,14.44,14.42,14.42,1268.0,14.429,8
2026-07-10T09:39:00-04:00,2026-07-10T13:39:00+00:00,14.42,14.43,14.42,14.42,100.0,14.425,1
2026-07-10T09:40:00-04:00,2026-07-10T13:40:00+00:00,14.42,14.42,14.42,14.42,0.0,14.42,0
2026-07-10T09:41:00-04:00,2026-07-10T13:41:00+00:00,14.41,14.44,14.38,14.39,8219.0,14.424,45
2026-07-10T09:42:00-04:00,2026-07-10T13:42:00+00:00,14.39,14.39,14.36,14.37,521.0,14.385,4
2026-07-10T09:43:00-04:00,2026-07-10T13:43:00+00:00,14.36,14.36,14.34,14.36,7536.0,14.352,30
2026-07-10T09:44:00-04:00,2026-07-10T13:44:00+00:00,14.34,14.35,14.33,14.33,934.0,14.335,7
2026-07-10T09:45:00-04:00,2026-07-10T13:45:00+00:00,14.33,14.34,14.29,14.29,1737.0,14.311,11
2026-07-10T09:46:00-04:00,2026-07-10T13:46:00+00:00,14.29,14.29,14.28,14.28,900.0,14.281,7
